acc,pctl
92.12,94.21496
92.11,94.21919
92.09,94.26379
92.08,94.27301
92.07,94.29195
92.06,94.29619
92.05,94.3216
92.04,94.34702
92.03,94.35923
92.02,94.36695
92,94.37293
91.98,94.43946
91.97,94.44494
91.96,94.45092
91.95,94.45989
91.94,94.48257
91.93,94.50674
91.92,94.50798
91.91,94.52318
91.9,94.53016
91.89,94.53041
91.88,94.57626
91.87,94.578
91.86,94.58896
91.85,94.61388
91.84,94.62011
91.83,94.64877
91.82,94.64926
91.81,94.66596
91.8,94.6692
91.79,94.69561
91.78,94.70184
91.77,94.73224
91.76,94.73647
91.75,94.76089
91.74,94.77485
91.73,94.79329
91.72,94.80126
91.71,94.80973
91.7,94.81347
91.67,94.81372
91.63,94.94005
91.62,94.94154
91.61,94.94728
91.6,94.9545
91.59,94.97095
91.58,94.9839
91.57,94.99836
91.56,95.01978
91.55,95.02452
91.54,95.04969
91.53,95.05517
91.52,95.07934
91.51,95.08158
91.5,95.09379
91.49,95.09802
91.48,95.12768
91.47,95.13067
91.46,95.13764
91.45,95.15683
91.44,95.16854
91.43,95.16954
91.42,95.21165
91.41,95.2119
91.4,95.22386
91.39,95.23955
91.38,95.24454
91.37,95.27319
91.36,95.27793
91.35,95.29587
91.34,95.31007
91.33,95.31804
91.32,95.32402
91.3,95.32427
91.28,95.38208
91.27,95.38632
91.26,95.39105
91.25,95.40251
91.24,95.4212
91.23,95.42619
91.22,95.44736
91.21,95.4511
91.2,95.46655
91.19,95.47253
91.18,95.47677
91.16,95.51688
91.15,95.52286
91.14,95.53283
91.13,95.55501
91.12,95.56024
91.11,95.56223
91.1,95.59139
91.09,95.59662
91.08,95.61057
91.07,95.61232
91.06,95.63773
91.05,95.64571
91.04,95.64596
91.03,95.66738
91.02,95.69205
91.01,95.69355
91,95.7085
90.99,95.72096
90.98,95.72893
90.97,95.74164
90.96,95.74986
90.95,95.7521
90.91,95.7526
90.88,95.87719
90.87,95.87744
90.86,95.87818
90.85,95.87993
90.84,95.88715
90.83,95.89164
90.82,95.90634
90.81,95.91855
90.8,95.91905
90.79,95.93799
90.78,95.96265
90.77,95.96689
90.76,95.98682
90.75,95.99554
90.74,95.99629
90.73,96.01573
90.72,96.01922
90.71,96.03118
90.7,96.03641
90.69,96.06307
90.68,96.06357
90.67,96.07254
90.66,96.08998
90.65,96.09023
90.64,96.10294
90.63,96.10393
90.61,96.13907
90.6,96.13957
90.59,96.14928
90.58,96.16423
90.57,96.16897
90.56,96.18865
90.55,96.1899
90.54,96.19613
90.53,96.21257
90.52,96.22379
90.51,96.22827
90.5,96.23176
90.48,96.2335
90.45,96.28683
90.44,96.28982
90.43,96.2938
90.42,96.30875
90.41,96.30975
90.4,96.32445
90.38,96.33018
90.37,96.35136
90.36,96.3551
90.35,96.3708
90.34,96.37877
90.32,96.38126
90.31,96.41316
90.3,96.41391
90.29,96.41964
90.28,96.43259
90.27,96.45004
90.26,96.45577
90.25,96.45701
90.24,96.45726
90.23,96.48068
90.22,96.48492
90.21,96.49638
90.2,96.49937
90.19,96.51856
90.18,96.51906
90.17,96.52728
90.16,96.52902
90.15,96.54871
90.14,96.55045
90.13,96.56441
90.12,96.56615
90.11,96.58235
90.1,96.59082
90.09,96.60128
90.08,96.60677
90.07,96.612
90.06,96.61723
90.05,96.61997
90.04,96.62097
90,96.62147
89.96,96.72786
89.95,96.72861
89.94,96.73011
89.93,96.73359
89.92,96.73783
89.91,96.74232
89.9,96.7483
89.89,96.75477
89.88,96.76599
89.87,96.76698
89.86,96.78094
89.84,96.79813
89.83,96.80087
89.82,96.81607
89.81,96.81781
89.8,96.82579
89.78,96.84273
89.77,96.84622
89.76,96.85494
89.75,96.85943
89.74,96.85993
89.73,96.88135
89.72,96.88434
89.71,96.88908
89.7,96.90727
89.69,96.90826
89.68,96.91848
89.67,96.92346
89.66,96.92471
89.64,96.95212
89.63,96.95287
89.62,96.95685
89.61,96.96333
89.6,96.97654
89.59,96.97928
89.58,96.97953
89.57,96.99672
89.56,97.00121
89.55,97.0017
89.54,97.01292
89.53,97.01416
89.52,97.02338
89.51,97.03584
89.5,97.03883
89.47,97.03933
89.45,97.08667
89.44,97.08742
89.43,97.09116
89.42,97.09564
89.41,97.10212
89.4,97.11159
89.39,97.11458
89.38,97.13152
89.37,97.13725
89.36,97.1375
89.35,97.15445
89.34,97.1547
89.33,97.15968
89.32,97.17413
89.31,97.18186
89.29,97.18559
89.27,97.2145
89.26,97.21549
89.25,97.21973
89.24,97.2277
89.23,97.22945
89.22,97.24365
89.21,97.25187
89.2,97.25312
89.19,97.25387
89.17,97.27878
89.16,97.28202
89.15,97.29299
89.14,97.29498
89.13,97.29523
89.12,97.31217
89.11,97.31342
89.1,97.32015
89.09,97.32139
89.08,97.33709
89.07,97.34133
89.06,97.34183
89.05,97.35628
89.04,97.35852
89.03,97.37048
89.02,97.37198
89.01,97.38568
89,97.39415
88.99,97.40113
88.98,97.40835
88.97,97.41309
88.96,97.41608
88.95,97.41807
88.94,97.41982
88.89,97.42081
88.85,97.50728
88.84,97.50753
88.83,97.50777
88.82,97.50902
88.81,97.51076
88.8,97.514
88.79,97.51799
88.78,97.52721
88.77,97.53468
88.76,97.53518
88.75,97.54241
88.74,97.55611
88.73,97.55711
88.72,97.56708
88.71,97.56982
88.7,97.58477
88.69,97.591
88.68,97.59175
88.67,97.60595
88.66,97.60645
88.65,97.61218
88.64,97.61467
88.63,97.6351
88.62,97.63535
88.61,97.63859
88.6,97.65055
88.59,97.65528
88.58,97.65728
88.57,97.65778
88.56,97.67871
88.55,97.67921
88.54,97.68195
88.52,97.69042
88.51,97.70188
88.5,97.7121
88.49,97.71857
88.48,97.71982
88.46,97.72057
88.44,97.74698
88.43,97.74848
88.42,97.74972
88.41,97.75396
88.4,97.76666
88.39,97.76741
88.37,97.7714
88.36,97.7871
88.35,97.78934
88.34,97.79358
88.33,97.79407
88.32,97.80653
88.31,97.80778
88.3,97.81899
88.29,97.82323
88.28,97.82746
88.27,97.8307
88.26,97.83095
88.24,97.8312
88.2,97.87281
88.19,97.87406
88.18,97.87829
88.17,97.88353
88.16,97.88901
88.15,97.90022
88.14,97.90271
88.12,97.91417
88.11,97.91991
88.1,97.9209
88.08,97.93834
88.07,97.94009
88.06,97.94308
88.05,97.95105
88.04,97.95155
88.03,97.95653
88.02,97.96052
88,97.96102
87.98,97.98444
87.97,97.98469
87.96,97.98644
87.95,97.99291
87.94,98.00039
87.93,98.00188
87.92,98.01085
87.91,98.01135
87.9,98.01559
87.89,98.01758
87.88,98.01808
87.86,98.03328
87.85,98.03453
87.84,98.03976
87.83,98.04948
87.82,98.05271
87.8,98.05346
87.79,98.06767
87.78,98.06891
87.77,98.07414
87.76,98.07514
87.75,98.08635
87.74,98.0866
87.73,98.09134
87.72,98.09233
