diff,pctl
19.39,0.7702882
19.39,0.7707955
19.39,0.7710491
19.39,0.7715564
19.39,0.7778973
19.39,0.7781509
19.38,0.7791654
19.38,0.7794191
19.2,0.7796727
19.2,0.7809409
19.2,0.8019926
19.2,0.8050362
19.19,0.809348
19.19,0.8108698
19.19,0.811377
19.19,0.8121379
19.18,0.8194933
19.17,0.819747
19,0.8200006
19,0.8210151
19,0.8466322
19,0.8471395
19,0.8473931
18.99,0.8491686
18.99,0.8522122
18.99,0.8527195
18.99,0.8529731
18.99,0.8577922
18.98,0.8585531
18.98,0.8588067
18.83,0.8590603
18.8,0.859314
18.8,0.864133
18.8,0.8679375
18.8,0.8851847
18.79,0.8879747
18.79,0.8912719
18.79,0.8930474
18.78,0.8948228
18.78,0.8950764
18.66,0.8953301
18.6,0.8955837
18.6,0.8971055
18.6,0.9067436
18.6,0.9105482
18.6,0.9232299
18.59,0.9242444
18.59,0.9244981
18.59,0.930078
18.59,0.9303317
18.59,0.9313462
18.54,0.9326144
18.4,0.932868
18.4,0.9506224
18.4,0.9511297
18.4,0.9546806
18.4,0.9643187
18.39,0.9645723
18.39,0.964826
18.39,0.9650796
18.39,0.9706596
18.39,0.9709132
18.38,0.9719277
18.33,0.9721814
18.2,0.972435
18.2,0.9754786
18.2,0.9957694
18.2,0.9985594
18.19,1.005407
18.19,1.005661
18.19,1.007183
18.19,1.008197
18.19,1.014285
18.18,1.014538
18.16,1.014792
18,1.015046
18,1.015807
18,1.016567
18,1.016821
18,1.049033
18,1.049794
17.99,1.050808
17.99,1.053091
17.99,1.054866
17.99,1.061461
17.98,1.061714
17.8,1.061968
17.8,1.06907
17.8,1.07186
17.8,1.072621
17.8,1.094433
17.79,1.096462
17.79,1.09697
17.79,1.099252
17.79,1.100267
17.78,1.103818
17.6,1.104325
17.6,1.104832
17.6,1.114978
17.6,1.117768
17.59,1.143131
17.59,1.148965
17.59,1.149472
17.59,1.150233
17.59,1.151755
17.58,1.152008
17.4,1.152516
17.4,1.173821
17.4,1.174074
17.4,1.178894
17.4,1.191575
17.39,1.193351
17.39,1.194619
17.39,1.194873
17.39,1.202735
17.39,1.203242
17.38,1.204511
17.2,1.205018
17.2,1.208315
17.2,1.208569
17.2,1.23165
17.2,1.23241
17.2,1.235708
17.19,1.244585
17.19,1.246107
17.19,1.246614
17.19,1.254223
17.18,1.25473
17,1.255238
17,1.255998
17,1.256506
17,1.256759
17,1.297595
17,1.297848
17,1.298355
16.99,1.299624
16.99,1.302921
16.99,1.30495
16.99,1.305204
16.99,1.309769
16.98,1.310784
16.8,1.311037
16.8,1.320422
16.8,1.326763
16.8,1.32727
16.8,1.357452
16.79,1.361764
16.79,1.362018
16.79,1.366076
16.79,1.36633
16.79,1.367851
16.78,1.374446
16.6,1.374699
16.6,1.37546
16.6,1.392707
16.6,1.400063
16.6,1.427709
16.59,1.428216
16.59,1.439376
16.59,1.439884
16.59,1.440391
16.59,1.441152
16.58,1.441659
16.58,1.441913
16.57,1.442166
16.4,1.44242
16.4,1.47032
16.4,1.470827
16.4,1.477929
16.4,1.495937
16.39,1.497459
16.39,1.497712
16.39,1.498473
16.39,1.506082
16.39,1.506336
16.39,1.506589
16.38,1.508365
16.36,1.508872
16.36,1.509126
16.33,1.509379
16.2,1.509633
16.2,1.513438
16.2,1.513691
16.2,1.542859
16.2,1.543874
16.2,1.548439
16.19,1.561374
16.19,1.562896
16.19,1.56315
16.19,1.563657
16.19,1.57431
16,1.574563
16,1.576593
16,1.578368
16,1.578875
16,1.63087
16,1.631124
16,1.631631
15.99,1.632646
15.99,1.636704
15.99,1.637719
15.99,1.638226
15.99,1.644313
15.98,1.645074
15.8,1.645581
15.8,1.657756
15.8,1.662321
15.8,1.663589
15.8,1.698844
15.79,1.703917
15.79,1.704424
15.79,1.710258
15.79,1.710512
15.79,1.712287
15.78,1.718628
15.78,1.718882
15.78,1.719389
15.6,1.719642
15.6,1.720657
15.6,1.73689
15.6,1.743991
15.6,1.745006
15.6,1.77671
15.59,1.777471
15.59,1.777725
15.59,1.787363
15.59,1.78787
15.59,1.789138
15.58,1.792689
15.4,1.793197
15.4,1.827944
15.4,1.828198
15.4,1.835553
15.4,1.855083
15.39,1.857112
15.39,1.857366
15.39,1.857873
15.39,1.873599
15.38,1.873852
15.38,1.874106
15.38,1.87436
15.37,1.874867
15.2,1.87512
15.2,1.879432
15.2,1.879686
15.2,1.922297
15.2,1.923311
15.2,1.926101
15.19,1.938022
15.19,1.939036
15.19,1.940812
15.18,1.951211
15.18,1.951464
15,1.951718
15,1.953494
15,1.955523
15,1.95603
15,2.016902
15,2.01817
14.99,2.020199
14.99,2.024511
14.99,2.02654
14.99,2.026794
14.99,2.031867
14.98,2.032881
14.98,2.033135
14.97,2.033896
14.8,2.034149
14.8,2.053426
14.8,2.061035
14.8,2.061796
14.8,2.111508
14.79,2.117342
14.79,2.11861
14.79,2.125458
14.79,2.125965
14.79,2.128501
14.78,2.133574
14.74,2.134842
14.63,2.135096
14.6,2.13535
14.6,2.137379
14.6,2.16122
14.6,2.173141
14.6,2.174156
14.6,2.213215
14.59,2.213469
14.59,2.222853
14.59,2.223361
14.59,2.225136
14.58,2.227673
14.44,2.228687
14.4,2.228941
14.4,2.269269
14.4,2.270537
14.4,2.27079
14.4,2.283726
14.4,2.308582
14.39,2.310611
14.39,2.311118
14.39,2.311626
14.39,2.323293
14.39,2.324815
14.38,2.327097
14.38,2.327351
14.2,2.327605
14.2,2.331916
14.2,2.33217
14.2,2.382643
14.2,2.383658
14.2,2.393296
14.19,2.411558
14.19,2.413333
14.19,2.414855
14.19,2.415109
14.19,2.433877
14.18,2.434385
14,2.434638
14,2.43616
14,2.439711
14,2.439965
14,2.516055
14,2.516562
14,2.519352
13.99,2.52062
13.99,2.526961
13.99,2.529498
13.99,2.539136
13.8,2.539643
13.8,2.562724
13.8,2.571601
13.8,2.573376
13.8,2.57363
13.8,2.628415
13.8,2.635771
13.79,2.636024
13.79,2.636785
13.79,2.642111
13.79,2.642365
13.79,2.644901
13.79,2.645155
13.78,2.653018
13.76,2.653525
13.6,2.653779
13.6,2.656061
13.6,2.68878
13.6,2.702476
13.6,2.70273
13.6,2.761573
13.59,2.762588
13.59,2.779835
13.59,2.780596
13.59,2.784147
13.58,2.7844
13.58,2.784654
13.4,2.784908
13.4,2.785161
13.4,2.844005
13.4,2.844765
13.4,2.855925
13.4,2.881796
13.39,2.885347
13.39,2.88763
13.39,2.888391
13.39,2.903101
13.39,2.903862
13.38,2.905891
13.2,2.906145
13.2,2.910964
13.2,2.979953
13.2,2.980206
13.2,2.980714
13.2,2.98883
13.19,3.011403
13.19,3.014954
13.19,3.015208
13.19,3.015715
13.18,3.032709
13.18,3.032962
13.16,3.033216
13,3.03347
13,3.034991
13,3.036513
13,3.037021
13,3.138982
13,3.139235
13,3.140757
12.99,3.143293
12.99,3.15141
12.99,3.155975
12.99,3.156229
12.99,3.164091
12.98,3.165106
12.98,3.165613
12.8,3.165867
12.8,3.190723
12.8,3.202644
12.8,3.204166
12.8,3.204419
12.8,3.272393
12.79,3.280763
12.79,3.281017
12.79,3.289387
12.79,3.292177
12.6,3.299279
12.6,3.301054
12.6,3.336056
12.6,3.352035
12.6,3.353303
12.6,3.415697
12.59,3.416458
12.59,3.416711
12.59,3.435734
12.59,3.436241
12.59,3.437763
12.59,3.441314
12.58,3.441568
12.41,3.441821
12.4,3.442075
12.4,3.503962
12.4,3.505991
12.4,3.523745
12.4,3.562805
12.39,3.56661
12.39,3.56737
12.39,3.568131
12.39,3.568639
12.39,3.585886
12.39,3.586393
12.38,3.588168
12.2,3.589183
12.2,3.596031
12.2,3.596538
12.2,3.676433
12.2,3.676941
12.2,3.687086
12.19,3.717268
12.19,3.720819
12.19,3.724117
12.19,3.724624
12.19,3.724877
12.19,3.742378
12.18,3.742632
12.11,3.742886
12,3.743139
12,3.7439
12,3.746436
12,3.74669
12,3.878834
12,3.882131
11.99,3.883906
11.99,3.893291
11.99,3.896842
11.99,3.897349
11.99,3.908002
11.98,3.909777
11.96,3.910031
11.91,3.910284
11.8,3.910538
11.8,3.942496
11.8,3.956192
11.8,3.95746
11.8,4.058153
11.79,4.066777
11.79,4.067284
11.79,4.0754
11.79,4.075654
11.79,4.079459
11.78,4.087829
11.77,4.088336
11.6,4.088589
11.6,4.093155
11.6,4.141599
11.6,4.157324
11.6,4.157832
11.59,4.243307
11.59,4.24356
11.59,4.264866
11.59,4.267402
11.59,4.272728
11.4,4.272982
11.4,4.359725
11.4,4.360739
11.4,4.385849
11.4,4.432264
11.39,4.435308
11.39,4.436069
11.39,4.436323
11.39,4.436576
11.39,4.458642
11.39,4.459657
11.2,4.462193
11.2,4.47107
11.2,4.578865
11.2,4.580387
11.2,4.593576
11.19,4.631114
11.19,4.631621
11.19,4.634157
11.19,4.63644
11.19,4.637201
11.19,4.657238
11.17,4.657745
11,4.657999
11,4.660535
11,4.665101
11,4.665862
11,4.666115
11,4.834529
11,4.834782
11,4.835036
11,4.839348
10.99,4.842899
10.99,4.85279
10.99,4.856595
10.99,4.857102
10.99,4.873589
10.97,4.874603
10.9,4.874857
10.8,4.87511
10.8,4.910366
10.8,4.923555
10.8,4.92533
10.8,5.041241
10.8,5.041495
10.79,5.053162
10.79,5.053923
10.79,5.066858
10.79,5.067365
10.79,5.071931
10.77,5.081315
10.6,5.081569
10.6,5.084866
10.6,5.143709
10.6,5.143963
10.6,5.173638
10.6,5.173892
10.6,5.176682
10.6,5.28473
10.59,5.285745
10.59,5.285998
10.59,5.307811
10.59,5.308572
10.59,5.311362
10.59,5.317449
10.58,5.317703
10.57,5.317956
10.52,5.31821
10.4,5.318464
10.4,5.434628
10.4,5.436404
10.4,5.467854
10.4,5.524161
10.39,5.528219
10.39,5.530756
10.39,5.531263
10.39,5.531517
10.39,5.55967
10.39,5.559924
10.39,5.560177
10.39,5.562206
10.38,5.564743
10.2,5.564996
10.2,5.575649
10.2,5.576156
10.2,5.722503
10.2,5.724533
10.2,5.741526
10.19,5.783629
10.19,5.783883
10.19,5.787688
10.19,5.78997
10.19,5.790224
10.19,5.812544
10.18,5.812797
10.18,5.813051
10.17,5.813305
10,5.813558
10,5.816856
10,5.821675
10,5.823196
10,6.036757
10,6.03701
10,6.044873
9.99,6.048424
9.99,6.058823
9.99,6.062627
9.99,6.063135
9.99,6.077338
9.98,6.078353
9.97,6.078606
9.84,6.07886
9.8,6.079114
9.8,6.126036
9.8,6.148356
9.8,6.149878
9.8,6.150131
9.8,6.30358
9.79,6.315755
9.79,6.316008
9.79,6.329958
9.79,6.330212
9.79,6.334777
9.73,6.348981
9.6,6.349235
9.6,6.355322
9.6,6.425325
9.6,6.425832
9.6,6.458551
9.6,6.460834
9.6,6.606674
9.59,6.608449
9.59,6.634573
9.59,6.635081
9.59,6.63711
9.58,6.643451
9.57,6.644719
9.55,6.644972
9.4,6.645226
9.4,6.780413
9.4,6.783457
9.4,6.783964
9.4,6.816683
9.4,6.891505
9.39,6.899368
9.39,6.90089
9.39,6.901143
9.39,6.901397
9.39,6.931072
9.39,6.931326
9.39,6.93158
9.39,6.932594
9.38,6.936399
9.2,6.937159
