rank,name,wpm,raw,accuracy,consistency,diff
241,0Emu,126.79,137.18,93.92,80.95,10.39
242,BetterThanYou4,126.79,140.39,93.29,73.94,13.60
243,pmanthocks,126.60,126.60,96.94,78.74,0.00
244,Kagora,126.60,146.00,89.54,76.40,19.40
245,Hibiki,126.59,126.59,99.84,86.46,0.00
246,MintChoco_73,126.59,127.59,97.71,78.36,1.00
247,spnc,126.59,126.59,97.09,81.09,0.00
248,ash702,126.59,142.79,93.70,90.46,16.20
249,fredzillasaurus,126.40,127.40,99.22,85.71,1.00
250,shaibixds,126.38,126.38,99.37,80.57,0.00
251,BrandonBaller,126.20,138.00,95.09,84.05,11.80
252,Gezza,126.00,131.40,97.29,74.47,5.40
253,Mobiusqube,126.00,152.40,90.09,73.46,26.40
254,bearistotle,125.98,128.58,97.41,75.99,2.60
255,Zeko,125.98,129.18,96.67,76.70,3.20
256,davison,125.80,125.80,100.00,87.03,0.00
257,drshnn,125.80,128.20,98.15,78.63,2.40
258,whorru,125.77,136.37,93.91,78.67,10.60
259,sjs.amio_07,125.60,128.40,98.15,71.82,2.80
260,ajdcabrera,125.39,127.79,98.90,80.85,2.40
261,twrig144,125.39,140.19,93.50,82.58,14.80
262,ianleong,125.39,141.79,93.25,84.76,16.40
263,BizarreDiesel,125.19,132.99,94.32,77.31,7.80
264,FrostedRaider_YT,125.00,126.20,98.74,83.46,1.20
265,itsKrishnaGarg,125.00,137.40,93.53,81.20,12.40
266,tonthegreat,124.99,133.99,95.85,82.54,9.00
267,smeehC,124.80,126.00,98.89,80.59,1.20
268,grimpeaper,124.80,127.40,98.59,84.12,2.60
269,takinl,124.80,128.60,96.11,70.83,3.80
270,jayping84,124.40,133.80,96.13,84.56,9.40
271,L3GO,124.20,126.80,99.21,89.72,2.60
272,iamvort3x,124.20,126.60,97.66,84.16,2.40
273,Mr.121,124.20,125.40,97.37,71.06,1.20
274,daytona199,124.20,138.20,94.55,77.11,14.00
275,seanho,124.19,133.79,97.01,84.48,9.60
276,Cassy,124.19,131.99,96.11,83.56,7.80
