name,wpm,raw,accuracy,consistency,diff
bigweewee,71.49,76.08,93.69,71.36,4.59
natividad_nold,78.8,80.2,94.79,71.45,1.4
jajeqsa,109,110,96.32,71.45,1
arshia0bjni,76.2,76.2,95.5,71.45,0
LotLot,82,93,92.49,71.47,11
rohithd,72.19,72.19,96.55,71.48,0
Ranger_555,73.79,74.59,95.89,71.49,0.8
Chil,71.8,86.2,89.7,71.52,14.4
monkeydone,84.8,85,97.7,71.52,0.2
yognira,116.2,121.8,93.71,71.53,5.6
Suman_,60,60,95.85,71.55,0
ADAMYAOP,85.2,86.8,95.78,71.56,1.6
edmond1123,70.8,116.6,76.46,71.58,45.8
cpptowin,87.59,93.79,94.38,71.59,6.2
izulsyauki,70.39,70.39,97.26,71.64,0
Cristofer0925,105,105,96.34,71.65,0
K Manindra,73.99,78.99,94.33,71.66,5
Natai,91.79,94.19,97.49,71.66,2.4
Dagrozy,72.4,82.4,89.36,71.7,10
likhith_904,72.4,72.8,93.85,71.7,0.4
WuttSR,81.99,83.39,95.84,71.71,1.4
Danielipe,77.4,82.4,97.11,71.78,5
buivy2,81.8,83.2,95.83,71.79,1.4
ItzOren_,67,67,99.71,71.86,0
Rhmh16,74.6,74.6,95.43,71.87,0
Amarant,95.79,96.79,93.32,71.89,1
fkk989,86.6,88.2,96.94,71.91,1.6
aferen,70.4,70.4,92.67,71.91,0
JamiePi1,100.39,112.99,92.81,71.92,12.6
Eli_Thomas,60.8,62.8,95.08,71.94,2
Lanes,96.6,98,94.79,71.95,1.4
aaron_mp04,64.4,64.4,88.5,72,0
lucian77,78.6,88,90.69,72.04,9.4
ronvanira,63.6,64.8,95.58,72.05,1.2
HunterXCodes,104.8,104.8,96.02,72.05,0
I_Naltz,105.18,106.78,95.86,72.08,1.6
Astrolphe,75.19,77.39,93.87,72.13,2.2
ggallano,72.18,82.18,87.85,72.14,10
4lul,126.2,126.4,96.96,72.18,0.2
Franco0303,73.8,74.6,97.12,72.2,0.8
-Mathe-,106.18,106.18,95.38,72.27,0
MascotsKey,73.6,73.6,97.88,72.27,0
DawnVictorioB109,67.99,67.99,99.71,72.28,0
jarvis18,62.19,63.19,99.37,72.3,1
ASACOCO_17,90.79,90.79,96.84,72.3,0
GostRaider,85.19,86.99,94.73,72.31,1.8
couldbelewz,121.79,144.39,89.7,72.34,22.6
Meow2704,73.8,75,96.64,72.35,1.2
bird224,146,161.6,94.25,72.36,15.6
SDarkrai,74,82.6,92.27,72.36,8.6
raisif,67.79,76.79,92.73,72.37,9
Uson,135.97,137.17,98,72.37,1.2
neonBandit,58.8,58.8,95.53,72.42,0
ballentessherlyn,61.8,61.8,96.87,72.42,0
Albos02,75.2,75.2,95.94,72.43,0
JagrajBenipal,109.98,109.98,96.48,72.44,0
zecsede,91.2,96.8,94.94,72.45,5.6
t0m1,102.8,102.8,95.06,72.46,0
notyashmeshram,62.2,62.2,95.41,72.49,0
Juice_Box12,91.2,94,96.68,72.54,2.8
I-like-typing,86,102.4,88.8,72.58,16.4
