rank,name,wpm,raw,accuracy,consistency,diff
30,67ba36749707b5a8a8c4428f,115.99,131.39,90.67,73.9,15.4
31,67aef8786de0b0fec453e0ef,115.98,116.98,95.17,65.54,1
32,67da6226796b8342ad101ed5,115.77,129.17,93.8,76.01,13.4
33,67dcb4c3c756633072d55b2f,115.77,129.57,92.88,72.98,13.8
34,67af45ac6de0b0fec4572b34,115.2,126.4,92.58,74.88,11.2
35,67da4692796b8342ad0f1c6a,115.2,132.6,90.65,71.09,17.4
36,67a448f28049ddd215ba3bf6,115,129.6,92.74,73.67,14.6
37,67e0c1e8f65fb0e23fdb5f3b,115,129.2,92.47,71.67,14.2
38,67da6369796b8342ad102b9d,114.99,142.99,88.15,79.11,28
39,67af44a86de0b0fec4571c7a,114.8,120.6,94.29,67.6,5.8
40,67da64d5796b8342ad103984,114.8,132,92.39,76.02,17.2
41,67df847fc756633072efef37,114.78,127.37,94.27,76.36,12.59
42,67e3b61bf65fb0e23ffd00db,114.38,127.97,94.14,73.88,13.59
43,67bb88019707b5a8a8d06f28,114.2,134.8,89.74,76.13,20.6
44,67c83a7972da54e642fc7406,113.8,138.4,89.71,79.86,24.6
45,67a61cd68049ddd215d00b5b,113.78,127.58,92.41,73.77,13.8
46,67e2ab65f65fb0e23ff0a128,113.6,124.6,95.07,79.21,11
47,67dcb80bc756633072d575bf,113.6,132.2,92.46,77.08,18.6
48,67dbfc7f796b8342ad22878f,113.6,127.8,92.18,72.78,14.2
49,67da6a1c796b8342ad106dbe,113.2,131,92.59,77.55,17.8
50,67d1db564e66d8ea7e20dbaf,113.2,148.4,84.99,81.06,35.2
51,67dc7c59c756633072d36b53,113,113.8,97.27,71.33,0.8
52,67be0b469707b5a8a8efb8d9,113,130,90.34,76.18,17
53,67b2972c6de0b0fec477968e,113,134,89.17,73.4,21
54,67da49a4796b8342ad0f3a42,112.99,126.59,92.01,74.77,13.6
55,67bd3d099707b5a8a8e48e19,112.2,136.79,88.38,72.46,24.59
56,67aefef16de0b0fec4541f2f,111.99,129.58,91.06,71.37,17.59
57,67ac6480c60cdb1842c880d3,111.6,115.4,94.87,69.07,3.8
58,67dcf316c756633072d76e7e,111.6,137.4,88.41,73.89,25.8
59,67bc43509707b5a8a8d756a7,111.59,122.39,92.66,74.06,10.8
60,67aefd946de0b0fec45411d1,111.39,130.39,90.06,72.4,19
61,67dcb573c756633072d560e5,111.39,138.18,89.16,76.02,26.79
62,67d1d6d04e66d8ea7e209354,111.19,138.99,88.27,77.52,27.8
63,67b16f456de0b0fec46c6761,111.19,145.39,85.09,72.84,34.2
64,67e0f09ff65fb0e23fdcf6d2,111,130.6,91.38,72.85,19.6
65,67da48d5796b8342ad0f324c,111,132.6,89.29,73.98,21.6
66,67e0f2a8f65fb0e23fdd083a,110.97,128.16,92.47,72.11,17.19
67,67da6764796b8342ad1051b7,110.79,122.59,92,68.39,11.8
68,67da7e61796b8342ad113a3d,110.6,113.8,96.89,71.63,3.2
69,67e297cbf65fb0e23fef9945,110.39,124.39,92.85,76.6,14
70,67d1dc744e66d8ea7e20ed47,110.39,137.79,87.04,76.73,27.4
71,67ba36159707b5a8a8c43f6f,110.2,140,85.87,76.85,29.8
72,67da6a6f796b8342ad107118,110.19,127.39,91.83,69.65,17.2
73,67da62f5796b8342ad10274c,110.19,127.99,90.08,67.63,17.8
74,67aeffe76de0b0fec454286a,109.99,127.58,89.45,69.5,17.59
75,67ac6020c60cdb1842c84e83,109.8,109.8,95.03,63.6,0
76,67dc80a2c756633072d39b30,109.79,117.19,95.29,70.64,7.4
77,67da69ca796b8342ad106a50,109.6,120.6,92.42,72.99,11
78,67ac6070c60cdb1842c851e2,109.6,115.2,91.83,69.11,5.6
79,67e0f310f65fb0e23fdd0bff,109.6,127,91.44,72.04,17.4
80,67da4a0a796b8342ad0f3e2a,109.58,136.38,88.49,72.19,26.8
81,67dc7cd0c756633072d370cb,109.4,120.4,94.62,71.35,11
82,67dc7a42c756633072d352de,109.38,120.77,93.71,70.14,11.39
83,67dc7bc8c756633072d3649b,109.2,115.2,95.57,68.06,6
84,67dc7dc5c756633072d37b64,109.2,116.2,94.97,75.21,7
85,67da6290796b8342ad102341,108.79,126.99,89.67,72,18.2
86,67b0383c6de0b0fec4618052,108.6,126.4,91.77,72.53,17.8
87,67aefa656de0b0fec453f26f,108.6,126.4,90.14,71.63,17.8
88,67c869fe72da54e642ff356d,108.59,138.59,86.08,73.24,30
89,67d1dbc94e66d8ea7e20e2cd,108.59,142.38,85.26,80.06,33.79
90,67c519659707b5a8a83e45f3,108.4,127,87.82,71.78,18.6
91,67da6c33796b8342ad1082dd,108.39,116.78,94.97,71.02,8.39
92,67df800ec756633072efcfe6,108.38,125.18,92.41,74.97,16.8
93,67c8384372da54e642fc5b5c,108.2,140.6,87.22,79.16,32.4
94,67c8a2b972da54e642033158,108.2,134.4,87.12,74.46,26.2
95,67d1d8774e66d8ea7e20adc7,108.2,139.8,85.31,79.15,31.6
96,67be0d749707b5a8a8efdf21,108.19,138.19,85.09,74.3,30
97,67df7ebec756633072efc715,108.17,127.96,89.43,74.94,19.79
98,6794d7ba49deeea627ba008f,108,108,95.24,70.53,0
99,67b296cc6de0b0fec477936e,107.8,133.4,88.6,72.49,25.6
100,67e0f229f65fb0e23fdd0391,107.6,129.59,88.23,74.73,21.99
101,67be0e949707b5a8a8eff260,107.59,121.99,90.28,70.92,14.4
102,67af44eb6de0b0fec4572034,107.4,122.4,90.82,70.26,15
103,67da45fd796b8342ad0f16c4,107.4,137.99,86.22,74.68,30.59
104,67d306bb4e66d8ea7e2e701d,107.39,135.99,86.18,74.63,28.6
105,67da8266796b8342ad116267,107.2,119.4,93.03,69.92,12.2
106,67b167b76de0b0fec46c2874,107.19,109.39,91.33,62.73,2.2
107,67e29759f65fb0e23fef9460,107.19,125.99,90.14,73.18,18.8
108,67da8317796b8342ad11699c,106.99,128.39,91.49,74.38,21.4
109,67c86ab072da54e642ff41a0,106.6,140.2,86.34,77.06,33.6
110,67da43e6796b8342ad0f02b4,106.6,140,85.21,70.28,33.4
111,67da7fb3796b8342ad1146e7,106.4,122.59,91.71,73.25,16.19
112,67ba37d59707b5a8a8c44def,106.4,121,90.27,68.52,14.6
113,67e3b58af65fb0e23ffcfb97,106.4,125.8,90.11,72.7,19.4
114,67bd3dc39707b5a8a8e49617,106.4,132.6,86.87,71.09,26.2
